,0,1,2,3,4,5,6,7,8,9,10
0,0.001556783014664428,3.8507460541233874e-05,3.730232525880518e-05,4.3535707461492e-05,3.963053464310292e-05,4.940405221651443e-05,3.172477706766138e-05,7.253456767853398e-05,2.9601776958795312e-05,2.4841103153610875e-05,8.778785332060426e-06
1,3.8507460541233874e-05,0.0014962773802765909,3.3849367988663075e-05,3.9505745882771e-05,3.5962062456286113e-05,4.4830876681425605e-05,2.8788115643490216e-05,6.582027410395076e-05,2.6861634883205266e-05,2.254164146757661e-05,7.96616117458382e-06
2,3.730232525880518e-05,3.3849367988663075e-05,0.003447717542892924,3.826936811200087e-05,3.483658833553575e-05,4.3427842815477906e-05,2.7887158442236774e-05,6.376035289629647e-05,2.6020969113858984e-05,2.183617486254445e-05,7.716850995151848e-06
3,4.3535707461492e-05,3.9505745882771e-05,3.826936811200087e-05,0.0014604726210982754,4.0657935080717474e-05,5.068482587562056e-05,3.254722496386235e-05,7.441498759328468e-05,3.0369187211407875e-05,2.5485095481261438e-05,9.006370651640585e-06
4,3.963053464310292e-05,3.5962062456286113e-05,3.483658833553575e-05,4.0657935080717474e-05,0.00207031311467371,4.6138373874367756e-05,2.962772403797769e-05,6.773992926129137e-05,2.7645057265444326e-05,2.3199070791401908e-05,8.198495095874468e-06
5,4.940405221651443e-05,4.4830876681425605e-05,4.3427842815477906e-05,5.068482587562056e-05,4.6138373874367756e-05,0.002485875412253545,3.6934390075998347e-05,8.444566878812625e-05,3.4462766272779404e-05,2.892032911174718e-05,1.0220373847111609e-05
6,3.172477706766138e-05,2.8788115643490216e-05,2.7887158442236774e-05,3.254722496386235e-05,2.962772403797769e-05,3.6934390075998347e-05,0.00240776458621693,5.422672627929401e-05,2.2130240903060538e-05,1.8571168813696717e-05,6.56300581229222e-06
7,7.253456767853398e-05,6.582027410395076e-05,6.376035289629647e-05,7.441498759328468e-05,6.773992926129137e-05,8.444566878812625e-05,5.422672627929401e-05,0.003738289928457434,5.0597911313979625e-05,4.246055687999396e-05,1.5005457351237863e-05
8,2.9601776958795312e-05,2.6861634883205266e-05,2.6020969113858984e-05,3.0369187211407875e-05,2.7645057265444326e-05,3.4462766272779404e-05,2.2130240903060538e-05,5.0597911313979625e-05,0.0022077067507982676,1.7328399059029542e-05,6.123814008855155e-06
9,2.4841103153610875e-05,2.254164146757661e-05,2.183617486254445e-05,2.5485095481261438e-05,2.3199070791401908e-05,2.892032911174718e-05,1.8571168813696717e-05,4.246055687999396e-05,1.7328399059029542e-05,0.0020612317153010135,5.138958235488613e-06
10,8.778785332060426e-06,7.96616117458382e-06,7.716850995151848e-06,9.006370651640585e-06,8.198495095874468e-06,1.0220373847111609e-05,6.56300581229222e-06,1.5005457351237863e-05,6.123814008855155e-06,5.138958235488613e-06,0.0006176836336300842
